Iteration 364, loss = 7489978.15131071
Iteration 365, loss = 7488282.03489550
Iteration 366, loss = 7487175.05530804
Iteration 367, loss = 7484769.51623339
Iteration 368, loss = 7482297.63801235
Iteration 369, loss = 7478787.96636129
Iteration 370, loss = 7475323.64635000
Iteration 371, loss = 7472876.77135592
Iteration 372, loss = 7470709.25653251
Iteration 373, loss = 7468202.58072368
Iteration 374, loss = 7465541.57668624
Iteration 375, loss = 7462703.34287835
Iteration 376, loss = 7460093.94830252
Iteration 377, loss = 7457490.81726581
Iteration 378, loss = 7455703.10507984
Iteration 379, loss = 7453224.44311407
Iteration 380, loss = 7450292.33412429
Iteration 381, loss = 7447635.40648340
Iteration 382, loss = 7445822.56474545
Iteration 383, loss = 7445697.97189348
Iteration 384, loss = 7443216.82620159
Iteration 385, loss = 7439984.99247862
Iteration 386, loss = 7437567.26070183
Iteration 387, loss = 7435315.02429218
Iteration 388, loss = 7434319.26865579
Iteration 389, loss = 7432564.77957135
Iteration 390, loss = 7431292.16475091
Iteration 391, loss = 7430083.49624715
Iteration 392, loss = 7427497.99960922
Iteration 393, loss = 7425187.87814763
Iteration 394, loss = 7423502.26583375
Iteration 395, loss = 7421238.10313980
Iteration 396, loss = 7419272.25978392
Iteration 397, loss = 7416783.05727911
Iteration 398, loss = 7414239.95978264
Iteration 399, loss = 7411813.30464384
Iteration 400, loss = 7409835.72510931
Iteration 401, loss = 7407844.48379440
Iteration 402, loss = 7405056.97704213
Iteration 403, loss = 7402485.43702102
Iteration 404, loss = 7399827.78960889
Iteration 405, loss = 7397619.65226534
Iteration 406, loss = 7395779.44957035
Iteration 407, loss = 7393458.27589665
Iteration 408, loss = 7391192.25612307
Iteration 409, loss = 7390064.80241722
Iteration 410, loss = 7388552.08690029
Iteration 411, loss = 7386215.77649330
Iteration 412, loss = 7385050.41555202
Iteration 413, loss = 7382742.09101456
Iteration 414, loss = 7379350.95522065
Iteration 415, loss = 7375950.52922812
Iteration 416, loss = 7373127.42846599
Iteration 417, loss = 7372293.62517861
Iteration 418, loss = 7370414.70237937
Iteration 419, loss = 7368906.79572842
Iteration 420, loss = 7366668.64367595
Iteration 421, loss = 7363471.11546826
Iteration 422, loss = 7360493.47615860
Iteration 423, loss = 7358391.78951716
Iteration 424, loss = 7356124.14289363
Iteration 425, loss = 7353308.56661266
Iteration 426, loss = 7351105.15176164
Iteration 427, loss = 7349691.30671329
Iteration 428, loss = 7346975.69168952
Iteration 429, loss = 7344665.49666482
Iteration 430, loss = 7342581.10863413
Iteration 431, loss = 7340016.86000771
Iteration 432, loss = 7338045.31199461
Iteration 433, loss = 7336537.99418067
Iteration 434, loss = 7336008.09670918
Iteration 435, loss = 7337107.82863511
Iteration 436, loss = 7336453.83011293
Iteration 437, loss = 7334576.26651305
Iteration 438, loss = 7332457.45363337
Iteration 439, loss = 7330485.07021509
Iteration 440, loss = 7328441.62085268
Iteration 441, loss = 7326084.35795480
Iteration 442, loss = 7324154.93018753
Iteration 443, loss = 7322609.19333169
Iteration 444, loss = 7321290.57023184
Iteration 445, loss = 7319904.84372276
Iteration 446, loss = 7318335.96009950
Iteration 447, loss = 7316172.18917749
Iteration 448, loss = 7313732.18014472
Iteration 449, loss = 7311987.33165291
Iteration 450, loss = 7310007.15357927
Iteration 451, loss = 7307691.36733073
Iteration 452, loss = 7305484.75068058
Iteration 453, loss = 7304815.31239173
Iteration 454, loss = 7302077.66987380
Iteration 455, loss = 7299763.40756774
Iteration 456, loss = 7297617.91591218
Iteration 457, loss = 7295177.38919501
Iteration 458, loss = 7292638.24699745
Iteration 459, loss = 7290221.39169399
Iteration 460, loss = 7287815.49823639
Iteration 461, loss = 7285326.82873893
Iteration 462, loss = 7284963.50097219
Iteration 463, loss = 7284233.73904804
Iteration 464, loss = 7282721.56674267
Iteration 465, loss = 7280687.53992311
Iteration 466, loss = 7278614.26947044
Iteration 467, loss = 7276721.64807654
Iteration 468, loss = 7275379.54349744
Iteration 469, loss = 7276353.20498102
Iteration 470, loss = 7276782.58360068
Iteration 471, loss = 7275952.98686517
Iteration 472, loss = 7273893.42673381
Iteration 473, loss = 7271784.75724330
Iteration 474, loss = 7269260.41952586
Iteration 475, loss = 7268443.57595110
Iteration 476, loss = 7267161.99746030
Iteration 477, loss = 7265878.33152752
Iteration 478, loss = 7263321.47360799
Iteration 479, loss = 7260734.61463958
Iteration 480, loss = 7258685.34378748
Iteration 481, loss = 7257035.65797835
Iteration 482, loss = 7254574.00138192
Iteration 483, loss = 7252004.38935472
Iteration 484, loss = 7248634.41063926
Iteration 485, loss = 7245548.24456134
Iteration 486, loss = 7243850.84913931
Iteration 487, loss = 7241562.47531038
Iteration 488, loss = 7239310.18234798
Iteration 489, loss = 7236934.06513319
Iteration 490, loss = 7234680.00332837
Iteration 491, loss = 7232159.81137211
Iteration 492, loss = 7229942.96321080
Iteration 493, loss = 7227500.36303255
Iteration 494, loss = 7224991.70730394
Iteration 495, loss = 7222968.01880427
Iteration 496, loss = 7222421.04419628
Iteration 497, loss = 7221079.53795716
Iteration 498, loss = 7218629.88820477
Iteration 499, loss = 7216461.91998862
Iteration 500, loss = 7214034.94877631
Iteration 501, loss = 7212118.30703504
Iteration 502, loss = 7210434.63911991
Iteration 503, loss = 7208172.60452359
Iteration 504, loss = 7205722.29707263
Iteration 505, loss = 7204022.25733776
Iteration 506, loss = 7202944.18296762
Iteration 507, loss = 7200409.22197692
Iteration 508, loss = 7198149.91239225
Iteration 509, loss = 7195322.37840556
Iteration 510, loss = 7192636.93826613
Iteration 511, loss = 7190372.53140169
Iteration 512, loss = 7188356.50252645
Iteration 513, loss = 7190297.92589458
Iteration 514, loss = 7189308.92130631
Iteration 515, loss = 7188988.85468015
Iteration 516, loss = 7186010.44861681
Iteration 517, loss = 7183454.46982559
Iteration 518, loss = 7183781.57602862
Iteration 519, loss = 7181899.46763529
Iteration 520, loss = 7181342.62889512
Iteration 521, loss = 7180476.22775872
Iteration 522, loss = 7179315.86882764
Iteration 523, loss = 7177146.25559870
Iteration 524, loss = 7174751.10372863
Iteration 525, loss = 7172363.28573595
Iteration 526, loss = 7170602.10104343
Iteration 527, loss = 7171385.36859366
Iteration 528, loss = 7168950.14906972
Iteration 529, loss = 7166675.15334476
Iteration 530, loss = 7164222.12173719
Iteration 531, loss = 7161975.02989028
Iteration 532, loss = 7159562.90206563
Iteration 533, loss = 7157408.94768553
Iteration 534, loss = 7155130.83600453
Iteration 535, loss = 7152766.03196868
Iteration 536, loss = 7150478.58359681
Iteration 537, loss = 7147980.56901835
Iteration 538, loss = 7145520.04822705
Iteration 539, loss = 7143171.42376315
Iteration 540, loss = 7141171.89265992
Iteration 541, loss = 7141013.66779384
Iteration 542, loss = 7141382.08263523
Iteration 543, loss = 7139492.43678732
Iteration 544, loss = 7137195.57799266
Iteration 545, loss = 7134566.55703379
Iteration 546, loss = 7131284.79217961
Iteration 547, loss = 7126596.03725736
Iteration 548, loss = 7123877.89111585
Iteration 549, loss = 7121246.57059633
Iteration 550, loss = 7117625.56217093
Iteration 551, loss = 7114194.89299628
Iteration 552, loss = 7112725.06849590
Iteration 553, loss = 7111941.54979495
Iteration 554, loss = 7110613.65648697
Iteration 555, loss = 7111249.49516697
Iteration 556, loss = 7111297.40928296
Iteration 557, loss = 7109855.72191854
Iteration 558, loss = 7107612.67739294
Iteration 559, loss = 7104865.42779868
Iteration 560, loss = 7103518.75475124
Iteration 561, loss = 7104097.09240006
Iteration 562, loss = 7104399.29816176
Iteration 563, loss = 7102136.55748653
Iteration 564, loss = 7101608.72394658
Iteration 565, loss = 7103118.88111631
Iteration 566, loss = 7102266.31867010
Iteration 567, loss = 7100415.74136762
Iteration 568, loss = 7097748.84056545
Iteration 569, loss = 7094894.54484987
Iteration 570, loss = 7092042.11178283
Iteration 571, loss = 7089546.79374625
Iteration 572, loss = 7087214.34658657
Iteration 573, loss = 7085031.25123308
