0,1,2,3
308.0,12292.0,208.0,12296.0
208.0,12296.0,396.0,12301.0
396.0,12301.0,397.0,12312.0
397.0,12312.0,310.0,12320.0
310.0,12320.0,253.0,12333.0
253.0,12333.0,318.0,12335.0
318.0,12335.0,222.0,12339.0
222.0,12339.0,157.0,12343.0
157.0,12343.0,355.0,12353.0
355.0,12353.0,258.0,12366.0
258.0,12366.0,258.0,12375.0
258.0,12375.0,227.0,12382.0
227.0,12382.0,252.0,12395.0
252.0,12395.0,170.0,12404.0
170.0,12404.0,102.0,12414.0
102.0,12414.0,243.0,12423.0
243.0,12423.0,241.0,12430.0
241.0,12430.0,166.0,12433.0
166.0,12433.0,156.0,12433.0
156.0,12433.0,175.0,12436.0
175.0,12436.0,99.0,12439.0
99.0,12439.0,69.0,12441.0
69.0,12441.0,127.0,12446.0
127.0,12446.0,109.0,12456.0
109.0,12456.0,100.0,12464.0
100.0,12464.0,81.0,12478.0
81.0,12478.0,103.0,12486.0
103.0,12486.0,51.0,12492.0
51.0,12492.0,42.0,12496.0
42.0,12496.0,118.0,12502.0
118.0,12502.0,65.0,12502.0
65.0,12502.0,67.0,12502.0
67.0,12502.0,70.0,12505.0
70.0,12505.0,74.0,12505.0
74.0,12505.0,52.0,12505.0
52.0,12505.0,37.0,12509.0
37.0,12509.0,79.0,12510.0
79.0,12510.0,57.0,12510.0
57.0,12510.0,55.0,12511.0
55.0,12511.0,28.0,12511.0
28.0,12511.0,34.0,12513.0
34.0,12513.0,29.0,12513.0
29.0,12513.0,12.0,12513.0
12.0,12513.0,24.0,12514.0
24.0,12514.0,56.0,12516.0
56.0,12516.0,48.0,12516.0
48.0,12516.0,50.0,12517.0
50.0,12517.0,58.0,12519.0
58.0,12519.0,34.0,12519.0
34.0,12519.0,15.0,12521.0
15.0,12521.0,41.0,12522.0
41.0,12522.0,32.0,12523.0
32.0,12523.0,39.0,12524.0
39.0,12524.0,43.0,12524.0
43.0,12524.0,48.0,12524.0
48.0,12524.0,37.0,12524.0
37.0,12524.0,11.0,12527.0
11.0,12527.0,52.0,12531.0
52.0,12531.0,52.0,12534.0
52.0,12534.0,50.0,12534.0
50.0,12534.0,67.0,12534.0
67.0,12534.0,53.0,12534.0
53.0,12534.0,58.0,12534.0
58.0,12534.0,19.0,12534.0
19.0,12534.0,73.0,12534.0
73.0,12534.0,100.0,12534.0
100.0,12534.0,69.0,12536.0
69.0,12536.0,60.0,12536.0
60.0,12536.0,86.0,12540.0
86.0,12540.0,68.0,12540.0
68.0,12540.0,22.0,12540.0
22.0,12540.0,74.0,12541.0
74.0,12541.0,108.0,12541.0
108.0,12541.0,65.0,12541.0
65.0,12541.0,86.0,12541.0
86.0,12541.0,67.0,12541.0
67.0,12541.0,54.0,12541.0
54.0,12541.0,33.0,12541.0
33.0,12541.0,119.0,12543.0
119.0,12543.0,97.0,12544.0
97.0,12544.0,95.0,12544.0
95.0,12544.0,85.0,12544.0
85.0,12544.0,128.0,12544.0
128.0,12544.0,95.0,12544.0
95.0,12544.0,28.0,12544.0
28.0,12544.0,119.0,12546.0
119.0,12546.0,137.0,12547.0
137.0,12547.0,131.0,12547.0
131.0,12547.0,122.0,12547.0
122.0,12547.0,145.0,12547.0
145.0,12547.0,128.0,12547.0
128.0,12547.0,51.0,12547.0
51.0,12547.0,163.0,12547.0
163.0,12547.0,110.0,12547.0
110.0,12547.0,209.0,12547.0
209.0,12547.0,153.0,12548.0
153.0,12548.0,188.0,12548.0
188.0,12548.0,136.0,12548.0
136.0,12548.0,80.0,12548.0
80.0,12548.0,227.0,12548.0
227.0,12548.0,308.0,12548.0
308.0,12548.0,230.0,12548.0
230.0,12548.0,384.0,12549.0
384.0,12549.0,475.0,12549.0
475.0,12549.0,291.0,12549.0
291.0,12549.0,189.0,12551.0
189.0,12551.0,504.0,12552.0
504.0,12552.0,592.0,12553.0
592.0,12553.0,657.0,12556.0
657.0,12556.0,562.0,12558.0
562.0,12558.0,703.0,12558.0
703.0,12558.0,522.0,12558.0
522.0,12558.0,203.0,12560.0
203.0,12560.0,766.0,12562.0
766.0,12562.0,1031.0,12566.0
1031.0,12566.0,462.0,12566.0
462.0,12566.0,1295.0,12569.0
1295.0,12569.0,1100.0,12569.0
1100.0,12569.0,916.0,12569.0
916.0,12569.0,311.0,12573.0
311.0,12573.0,1249.0,12580.0
1249.0,12580.0,1502.0,12589.0
1502.0,12589.0,1268.0,12592.0
1268.0,12592.0,1125.0,12594.0
1125.0,12594.0,1397.0,12596.0
1397.0,12596.0,914.0,12596.0
914.0,12596.0,400.0,12596.0
400.0,12596.0,1609.0,12606.0
1609.0,12606.0,1859.0,12620.0
1859.0,12620.0,1783.0,12637.0
1783.0,12637.0,1611.0,12649.0
1611.0,12649.0,1726.0,12660.0
1726.0,12660.0,1252.0,12668.0
1252.0,12668.0,592.0,12676.0
592.0,12676.0,1886.0,12690.0
1886.0,12690.0,2489.0,12697.0
2489.0,12697.0,1932.0,12705.0
1932.0,12705.0,2164.0,12720.0
2164.0,12720.0,2282.0,12729.0
2282.0,12729.0,1411.0,12731.0
1411.0,12731.0,761.0,12735.0
761.0,12735.0,2212.0,12752.0
2212.0,12752.0,2961.0,12772.0
2961.0,12772.0,2383.0,12791.0
2383.0,12791.0,2426.0,12816.0
2426.0,12816.0,2520.0,12833.0
2520.0,12833.0,2171.0,12846.0
2171.0,12846.0,1185.0,12854.0
1185.0,12854.0,2992.0,12864.0
2992.0,12864.0,4299.0,12872.0
4299.0,12872.0,3992.0,12883.0
3992.0,12883.0,4413.0,12886.0
4413.0,12886.0,4413.0,12895.0
4413.0,12895.0,3917.0,12903.0
3917.0,12903.0,1865.0,12917.0
1865.0,12917.0,4526.0,12935.0
4526.0,12935.0,6080.0,12957.0
6080.0,12957.0,6283.0,12977.0
6283.0,12977.0,6121.0,13000.0
6121.0,13000.0,6680.0,13018.0
6680.0,13018.0,5072.0,13034.0
5072.0,13034.0,3132.0,13045.0
3132.0,13045.0,3255.0,13076.0
3255.0,13076.0,8272.0,13112.0
8272.0,13112.0,8876.0,13146.0
8876.0,13146.0,8734.0,13166.0
8734.0,13166.0,8631.0,13205.0
8631.0,13205.0,6768.0,13229.0
6768.0,13229.0,4897.0,13269.0
4897.0,13269.0,8292.0,13314.0
8292.0,13314.0,9414.0,13367.0
